id,question,url,division
1,How do I create PDS labels?,"['github.com/NASA-AMMOS/labelocity', 'github.com/NASA-PDS/PLAID', 'github.com/NASA-PDS/mi-label']",Planetary
2,"How do I create a simulated mission, from start to end?","['github.com/NASA-AMMOS/aerie-mission-model-template', 'github.com/NASA-AMMOS/aerie-multimission-models-bb', 'github.com/NASA-AMMOS/aerie-simple-model-data', 'github.com/NASA-AMMOS/aerie-simple-model-power', 'github.com/NASA-AMMOS/multi-mission-utilities-DSN']",Planetary
3,Is my work compliant and ready to be uploaded to the PDS?,"['github.com/NASA-PDS/data-upload-manager', 'github.com/NASA-PDS/harvest']",Planetary
4,Provide Jupyter notebook examples illustrating the use of astronomical mosaic images with Montage.,"['github.com/Caltech-IPAC/MontageMosaics', 'github.com/Caltech-IPAC/MontageNotebooks']",Astro
5,Provide Python examples for analysis of Fermi data.,"['github.com/fermi-lat/AnalysisThreads', 'github.com/ranieremenezes/easyFermi', 'github.com/jlenain/flaapluc', 'github.com/gammapy/enrico', 'github.com/fermi-lat/FermiBottle', 'github.com/USRA-STI/gdt-fermi', 'github.com/Fermipy/fermipy', 'github.com/kristiantcho/flashcurve']",Astro
6,Provide Python package for the Fermi-GBM Targeted Search and Gamma-ray Targeted Search (GTS).,"['github.com/USRA-STI/gamma-ray-targeted-search', 'github.com/USRA-STI/gdt-core', 'github.com/fermi-lat/FermiBottle', 'github.com/USRA-STI/gdt-fermi', 'github.com/Fermipy/fermipy', 'github.com/kristiantcho/flashcurve']",Astro
7,Provide Workshop Tutorials from the AAS meetings.,"['github.com/NASA-NAVO/aas_workshop_2018', 'github.com/NASA-NAVO/aas_workshop_2018_summer', 'github.com/NASA-NAVO/aas_workshop_2019_winter', 'github.com/NASA-NAVO/aas_workshop_2020_winter', 'github.com/NASA-NAVO/navo-workshop']",Astro
8,Provide a Jupyter notebook example illustrating the use of Firefly.,"['github.com/Caltech-IPAC/firefly-workshop', 'github.com/Caltech-IPAC/firefly_client', 'github.com/Caltech-IPAC/jupyter_firefly_extensions']",Astro
9,Provide a Python tool for checking transit signals in Kepler monitoring data.,"['github.com/SSDataLab/vetting', 'github.com/nasa/K2CE', 'github.com/DJArmstrong/TransitSOM', 'github.com/lightkurve/lightkurve', 'github.com/PlanetHunters/watson']",Astro
10,Provide a tool that can be used to model Point Spread Functions (PSFs).,"['github.com/SSDataLab/psfmachine', 'github.com/punch-mission/paper-variable-point-spread-functions', 'github.com/djones1040/PythonPhot', 'github.com/rmjarvis/Piff', 'github.com/aboucaud/pypher', 'github.com/SSDataLab/psfmachine']",Astro
